label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
64,36.0838089,140.0766121,19.7718348913392,89.2251298662643,-3.9721176035831,0,0,0.998704670927982,-0.000606877775394,2,2,0,0,1,21.2676017605285,89.5899261909265,19.7718348913392,89.2251298662643,11.8006654424186,1.53960867932447
65,36.083809,140.0766103,19.6536162191994,89.2266333869626,-3.98791478166212,0,0,0.998861109563978,-0.005064669738285,2,2,0,0,1,21.1056657059042,89.6010581393449,19.6536162191994,89.2266333869626,11.7541036017607,1.49954713398286
66,36.0838096,140.0766048,19.231452371867,89.2556004882412,-3.98766410399717,0,0,0.998829384156304,-0.000944248853594,2,2,0,0,1,20.6108610951207,89.6678498338105,19.231452371867,89.2556004882412,11.673383767683,1.43969369961485
67,36.0838097,140.0766009,18.7550644847705,89.2972551462799,-3.96611083004261,0,0,0.998928400837537,-0.00308018533123,2,2,0,0,1,20.2599996451396,89.6789817830199,18.7550644847705,89.2972551462799,11.7975354955537,1.55259301238668
68,36.0838136,140.076556,14.7428684659975,89.5242886951231,-3.90251122328028,0,0,0.998547504824498,-0.015243531527578,2,2,0,0,1,16.2205947417869,90.1131277974413,14.7428684659975,89.5242886951231,11.723150482169,1.59072512854274
69,36.0838143,140.0765474,13.9252578714983,89.5843803774927,-3.90052784410618,0,0,0.999035919892333,-0.00040237548493,2,2,0,0,1,15.4469002614234,90.1910514411162,13.9252578714983,89.5843803774927,11.7643360491351,1.6381225052648
70,36.0838189,140.0765044,9.99977368213922,90.0851777739021,-3.87180029468549,0,0,0.998925530382511,-0.010002645129365,2,2,0,0,1,11.5784278621629,90.7031210984216,9.99977368213922,90.0851777739021,11.8463858650152,1.69528846289483
71,36.0838191,140.0764985,9.39485551293788,90.1136821709708,-3.83931486151077,0,0,0.998999335178902,0.004334477913006,2,2,0,0,1,11.0476374611787,90.7253849968405,9.39485551293788,90.1136821709708,11.9203528288092,1.76234744463391
72,36.0838202,140.0764917,8.74766593997694,90.1502995254066,-3.83536940654797,0,0,0.998820525066355,-0.010285675912303,2,2,0,0,1,10.4358790354394,90.8478364365621,8.74766593997694,90.1502995254066,11.9585261107773,1.82664205527938
73,36.0838215,140.0764691,6.62785595300583,90.2532422400126,-3.80344258522833,0,0,0.998917800460021,0.001236372200257,2,2,0,0,1,8.40268191339674,90.9925517747025,6.62785595300583,90.2532422400126,12.0531732002603,1.92265071652677
74,36.0838234,140.0764525,5.26500267691613,90.406619192709,-3.78096289354564,0,0,0.999161920474902,-0.00132345921319,2,2,0,0,1,6.90927163669216,91.2040588073085,5.26500267691613,90.406619192709,11.9434469559351,1.82743819348714
75,36.0838234,140.0764525,5.2504471670927,90.4131829644528,-3.78491199881097,0,0,0.999140901898426,0.001045920301435,2,2,0,0,1,6.90927163669216,91.2040588073085,5.2504471670927,90.4131829644528,11.9583015524235,1.83771140817993
76,36.0838234,140.0764525,5.10402979684385,90.4163501166384,-3.77832166867642,0,0,0.999290939725741,-0.002468071480174,2,2,0,0,1,6.90927163669216,91.2040588073085,5.10402979684385,90.4163501166384,12.1047013236146,1.96961495772554
77,36.0838232,140.0764501,4.87262194386433,90.441722228617,-3.75922900258446,0,0,0.999215625144447,0.006478798571349,2,2,0,0,1,6.69335689804553,91.1817949088897,4.87262194386433,90.441722228617,12.1201732779603,1.96539648556297
78,36.0838278,140.0764081,0.904761729156376,91.1640105102323,-3.76271507037181,0,0,0.997253285124482,0.063013422386945,2,2,0,0,1,2.91484897045103,91.693864566986,0.904761729156376,91.1640105102323,12.3828930442293,2.07874867145452
79,36.0838286,140.0764019,0.33725614177224,91.2644457976946,-3.75750684812688,0,0,0.998184169090052,-0.041593584815763,2,2,0,0,1,2.3570692312911,91.7829201590794,0.33725614177224,91.2644457976946,12.4047772090425,2.08529628110853
80,36.0838293,140.0763939,-0.455649398075723,91.2335467587471,-3.70386392600594,0,0,0.999129797849181,0.005518178771102,2,2,0,0,1,1.63735343495002,91.8608438027544,-0.455649398075723,91.2335467587471,12.4876803519402,2.18498568427209
81,36.0838305,140.0763864,-1.26015111182144,91.2528956461676,-3.69568916734177,0,0,0.999161352435177,-0.004286611885497,2,2,0,0,1,0.962619875720449,91.9944271916854,-1.26015111182144,91.2528956461676,12.6360931479806,2.34319864630722
82,36.083832,140.0763826,-1.50873418418082,91.2865247605854,-3.69362451020669,0,0,0.999232285374034,0.006372973216291,2,2,0,0,1,0.620754872650207,92.1614064282447,-1.50873418418082,91.2865247605854,12.5656390090387,2.30220363468773
83,36.0838331,140.0763569,-3.91313290520487,91.5200740826501,-3.68466128798439,0,0,0.999173424139396,-0.003968848242103,2,2,0,0,1,-1.69133211897244,92.2838578679664,-3.91313290520487,91.5200740826501,12.6900675883654,2.34941788628908
84,36.0838334,140.0763524,-4.38991419745004,91.5624524334079,-3.66059469257109,0,0,0.99917945675562,0.003600894575236,2,2,0,0,1,-2.09617225553296,92.3172537148036,-4.38991419745004,91.5624524334079,12.7694551078326,2.41474161568193
85,36.0838333,140.076348,-4.7195222514304,91.5950723370729,-3.67230649624586,0,0,0.999073713328985,-0.00171398256064,2,2,0,0,1,-2.49201594262563,92.3061217655942,-4.7195222514304,91.5950723370729,12.7045737879132,2.33824199893115
86,36.0838348,140.0763309,-6.41351236623399,91.6493335816317,-3.65228540247316,0,0,0.999045608973557,0.01379669670622,2,2,0,0,1,-4.03040845644172,92.4731010021535,-6.41351236623399,91.6493335816317,12.9009155044586,2.52146326722807
87,36.0838352,140.0763235,-7.08378915890962,91.7021760990943,-3.63294846723616,0,0,0.999175454140258,-0.004982776510941,2,2,0,0,1,-4.69614556620344,92.5176287982002,-7.08378915890962,91.7021760990943,12.9184792966288,2.52305470219533
88,36.0838351,140.0763217,-7.32688718438261,91.7250395305866,-3.64772623137789,0,0,0.999115034136467,0.000114589220336,2,2,0,0,1,-4.85808162082764,92.5064968497818,-7.32688718438261,91.7250395305866,12.9983939177372,2.58953209139483
89,36.0838371,140.076307,-8.6570391410702,91.8461421783027,-3.63203339130661,0,0,0.999247295149237,-0.00116626751397,2,2,0,0,1,-6.18055939599711,92.7291358308062,-8.6570391410702,91.8461421783027,13.0562249197744,2.62918803399808
90,36.0838399,140.0762626,-12.6610589771959,92.0171054669406,-3.59257834657214,0,0,0.999024674384887,-0.016990193319067,2,2,0,0,1,-10.1749820596813,93.040830405506,-12.6610589771959,92.0171054669406,13.1842297887434,2.68860394808153
