label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
13,36.082925,140.07695049999998,51.79610524069603,-2.3938243007083715,-1.2607454699732272,0,0,0.0341044910746776,0.999415659459178,0,0,0,0,1,-1,51.71157991226021,-8.805371721821938,51.1916779886813,-8.244938907662158,6.412104558125609,0.7644494419699089
14,36.0829301,140.0769661,53.13146729849085,-1.4672344196862497,-1.2985951801671407,0,0,0.5385608945292583,0.8425398882366757,0,0,0,0,1,-1,53.115025714741776,-8.237642318469483,52.623394443109966,-7.475556930274577,6.770427862519663,0.906904320282185
15,36.0829668,140.076981,53.81392911756826,2.572457330309372,-1.3376128020391749,0,0,0.6329702298140847,0.77413149028463,0,0,0,0,1,-1,54.45549638373306,-4.152217006072018,53.75900737274874,-3.5391566910308123,6.75520935925754,0.9278684671333226
16,36.083003,140.07698019999998,53.24623173713817,6.667549797865082,-1.349088691149533,0,0,0.7253672590938629,0.6883113559546359,0,0,0,0,1,-1,54.38352480333187,-0.1224514397216352,53.65878043227463,0.5938830128653276,6.884588028694341,1.019013960327443
17,36.0830404,140.0769809,52.78360139864729,10.76006643644351,-1.3646878797647464,0,0,0.796382393148069,0.6045925338321222,0,0,0,0,1,-1,54.44649993682216,4.040897516350772,53.66265270356457,4.712463383897136,6.921882874262199,1.0321904860726423
18,36.0830754,140.076974,51.64751143690959,14.64924686274792,-1.3729803950807922,0,0,0.7282633512975055,0.6850133881061942,0,0,0,0,1,-1,53.82574506417195,7.937079693770103,52.97436872252808,8.70529320132726,7.056761993948798,1.1467317333640723
19,36.0831117,140.0769722,50.8512206310637,18.6039098345312,-1.3931500528400758,0,0,0.7064005088834523,0.7074488867486179,0,0,0,0,1,-1,53.66380900954773,11.977977209329902,52.631114020695016,12.724697943019487,7.198168971376708,1.274382514837446
20,36.0831489,140.0769741,50.59900814547953,22.67532445455112,-1.4217750508404887,0,0,0.7330338357086162,0.6795360023798223,0,0,0,0,1,-1,53.83474151108285,16.119062266983477,52.84166009250513,16.79847978519535,7.311261470184733,1.2032534512635011
21,36.0831833,140.0769569,48.66017230767803,26.23422578464566,-1.3685829548156212,0,0,0.843435912970505,0.5360808179260694,0,0,0,0,1,-1,52.28735255035586,19.94845275072825,51.31838776435149,20.55407620887742,7.2572294401373085,1.142660286164288
22,36.0832202,140.07694859999998,47.77380604313953,30.14216650953915,-1.4268612490297226,0,0,0.6958945468477992,0.7179229701478345,0,0,0,0,1,-1,51.54064741072509,24.05614196075358,50.88034537869272,24.537261458468425,7.157428916655374,0.8169912757107458
23,36.0832573,140.0769547,47.95519683737773,34.19011709673593,-1.6085666030782222,0,0,0.6772903810530742,0.7350759741557621,0,0,0,0,1,-1,52.08943070553104,28.186095069197737,51.51904699455374,28.53861958072112,7.2897304602947965,0.6705304683405824
24,36.083295,140.0769595,47.73199888611054,38.1902331427569,-1.7530135823051347,0,0,0.7825204486895558,0.621399775188312,0,0,0,0,1,-1,52.52126018282431,32.38283987210742,51.7503454949383,32.538275404764505,7.527472375783611,0.7864284206529983
25,36.0833348,140.0769617,47.49863445430697,42.23450696381336,-1.905632663931969,0,0,0.7075089071149657,0.7063715391330746,0,0,0,0,1,-1,52.71918202764912,36.81335560525096,51.97654432188208,36.582956330177886,7.526154331261849,0.7775568069158217
26,36.0833729,140.0769665,47.35223113867076,46.233384626169126,-2.130808143365839,0,0,0.7167244689045156,0.6970692593371166,0,0,0,0,1,-1,53.151011504942375,41.05462820499831,52.28400303691524,40.57268384316262,7.774662166684488,0.9919546620365122
